id,name,price,vehicle_make,vehicle_model,year_range,brand_id,category_id,subcategory_id,engine_size,oem_part_number,description,product_url,image_url,created_at,updated_at
1018,Subaru Pajero Stabilizer Links,31324.88,Subaru,Pajero,2015-2020,6,2,7,1.8L,SUB-38204,"High-quality Subaru Pajero Stabilizer Links for Subaru Pajero, suitable for 2010-2015 models.",https://example.com/products/subaru-pajero-stabilizer-links,"https://source.unsplash.com/featured/?car,subaru,part",2025-11-08T14:11:25.147934,2025-11-08T14:11:25.147938
1019,Kia Corolla Fuel Filter,27618.26,Kia,Corolla,2015-2020,1,6,26,1.5L,KIA-84379,"High-quality Kia Corolla Fuel Filter for Kia Corolla, suitable for 2005-2010 models.",https://example.com/products/kia-corolla-fuel-filter,"https://source.unsplash.com/featured/?car,kia,part",2025-11-08T14:11:25.148184,2025-11-08T14:11:25.148187
1020,Mazda C-Class Coolant,14593.12,Mazda,C-Class,2005-2010,10,7,32,2.4L,MAZ-46444,"High-quality Mazda C-Class Coolant for Mazda C-Class, suitable for 2020-2024 models.",https://example.com/products/mazda-c-class-coolant,"https://source.unsplash.com/featured/?car,mazda,part",2025-11-08T14:11:25.148422,2025-11-08T14:11:25.148426
1021,Mazda Demio Engine Oil,96820.21,Mazda,Demio,2005-2010,6,7,32,1.8L,MAZ-75359,"High-quality Mazda Demio Engine Oil for Mazda Demio, suitable for 2020-2024 models.",https://example.com/products/mazda-demio-engine-oil,"https://source.unsplash.com/featured/?car,mazda,part",2025-11-08T14:11:25.148678,2025-11-08T14:11:25.148682
1022,Mitsubishi X5 Stabilizer Links,71962.6,Mitsubishi,X5,2005-2010,8,2,6,1.8L,MIT-40988,"High-quality Mitsubishi X5 Stabilizer Links for Mitsubishi X5, suitable for 2005-2010 models.",https://example.com/products/mitsubishi-x5-stabilizer-links,"https://source.unsplash.com/featured/?car,mitsubishi,part",2025-11-08T14:11:25.148943,2025-11-08T14:11:25.148948
1023,Hyundai Pajero Motorbike,6848.46,Hyundai,Pajero,2005-2010,8,10,43,1.8L,HYU-79922,"High-quality Hyundai Pajero Motorbike for Hyundai Pajero, suitable for 2005-2010 models.",https://example.com/products/hyundai-pajero-motorbike,"https://source.unsplash.com/featured/?car,hyundai,part",2025-11-08T14:11:25.149231,2025-11-08T14:11:25.149235
1024,Subaru Tucson Stabilizer Links,39769.79,Subaru,Tucson,2020-2024,2,2,9,1.3L,SUB-55327,"High-quality Subaru Tucson Stabilizer Links for Subaru Tucson, suitable for 2015-2020 models.",https://example.com/products/subaru-tucson-stabilizer-links,"https://source.unsplash.com/featured/?car,subaru,part",2025-11-08T14:11:25.149472,2025-11-08T14:11:25.149476
1025,Subaru Tucson Mirrors,60467.05,Subaru,Tucson,2005-2010,1,8,38,4.0L Diesel,SUB-94029,"High-quality Subaru Tucson Mirrors for Subaru Tucson, suitable for 2015-2020 models.",https://example.com/products/subaru-tucson-mirrors,"https://source.unsplash.com/featured/?car,subaru,part",2025-11-08T14:11:25.149711,2025-11-08T14:11:25.149714
1026,Mazda Corolla All-Season,18801.29,Mazda,Corolla,2020-2024,1,10,43,1.5L,MAZ-52317,"High-quality Mazda Corolla All-Season for Mazda Corolla, suitable for 2010-2015 models.",https://example.com/products/mazda-corolla-all-season,"https://source.unsplash.com/featured/?car,mazda,part",2025-11-08T14:11:25.149948,2025-11-08T14:11:25.149951
1027,Mercedes-Benz Corolla Shock Absorbers,33013.3,Mercedes-Benz,Corolla,2005-2010,6,2,7,1.3L,MER-15646,"High-quality Mercedes-Benz Corolla Shock Absorbers for Mercedes-Benz Corolla, suitable for 2015-2020 models.",https://example.com/products/mercedes-benz-corolla-shock-absorbers,"https://source.unsplash.com/featured/?car,mercedes-benz,part",2025-11-08T14:11:25.150227,2025-11-08T14:11:25.150231
1028,BMW Forester Stabilizer Links,84593.12,BMW,Forester,2020-2024,6,2,8,1.3L,BMW-28056,"High-quality BMW Forester Stabilizer Links for BMW Forester, suitable for 2010-2015 models.",https://example.com/products/bmw-forester-stabilizer-links,"https://source.unsplash.com/featured/?car,bmw,part",2025-11-08T14:11:25.150471,2025-11-08T14:11:25.150474
1029,Subaru Discovery Air Filter,63807.23,Subaru,Discovery,2020-2024,10,6,27,3.0L,SUB-41525,"High-quality Subaru Discovery Air Filter for Subaru Discovery, suitable for 2020-2024 models.",https://example.com/products/subaru-discovery-air-filter,"https://source.unsplash.com/featured/?car,subaru,part",2025-11-08T14:11:25.150708,2025-11-08T14:11:25.150711
1030,Mazda Hilux Ignition Coils,92528.73,Mazda,Hilux,2015-2020,8,5,23,2.4L,MAZ-20852,"High-quality Mazda Hilux Ignition Coils for Mazda Hilux, suitable for 2010-2015 models.",https://example.com/products/mazda-hilux-ignition-coils,"https://source.unsplash.com/featured/?car,mazda,part",2025-11-08T14:11:25.150966,2025-11-08T14:11:25.150969
1031,Land Rover Corolla Clutch Kit,4042.55,Land Rover,Corolla,2020-2024,2,4,16,4.0L Diesel,LAN-38329,"High-quality Land Rover Corolla Clutch Kit for Land Rover Corolla, suitable for 2020-2024 models.",https://example.com/products/land-rover-corolla-clutch-kit,"https://source.unsplash.com/featured/?car,land-rover,part",2025-11-08T14:11:25.151238,2025-11-08T14:11:25.151242
1032,Kia Demio Axle Boot,91988.3,Kia,Demio,2015-2020,2,4,19,4.0L Diesel,KIA-77361,"High-quality Kia Demio Axle Boot for Kia Demio, suitable for 2015-2020 models.",https://example.com/products/kia-demio-axle-boot,"https://source.unsplash.com/featured/?car,kia,part",2025-11-08T14:11:25.151486,2025-11-08T14:11:25.151489
1033,Nissan Pajero Headlights,110211.93,Nissan,Pajero,2020-2024,9,8,35,4.0L Diesel,NIS-60538,"High-quality Nissan Pajero Headlights for Nissan Pajero, suitable for 2010-2015 models.",https://example.com/products/nissan-pajero-headlights,"https://source.unsplash.com/featured/?car,nissan,part",2025-11-08T14:11:25.151724,2025-11-08T14:11:25.151727
1034,Hyundai Forester Coolant,83136.25,Hyundai,Forester,2005-2010,2,7,31,1.5L,HYU-85660,"High-quality Hyundai Forester Coolant for Hyundai Forester, suitable for 2020-2024 models.",https://example.com/products/hyundai-forester-coolant,"https://source.unsplash.com/featured/?car,hyundai,part",2025-11-08T14:11:25.151962,2025-11-08T14:11:25.151965
1035,Toyota Discovery Control Arms,33843.91,Toyota,Discovery,2020-2024,4,2,6,1.8L,TOY-72421,"High-quality Toyota Discovery Control Arms for Toyota Discovery, suitable for 2015-2020 models.",https://example.com/products/toyota-discovery-control-arms,"https://source.unsplash.com/featured/?car,toyota,part",2025-11-08T14:11:25.152205,2025-11-08T14:11:25.152210
1036,Kia Forester Control Arms,20197.86,Kia,Forester,2020-2024,2,2,10,2.4L,KIA-75823,"High-quality Kia Forester Control Arms for Kia Forester, suitable for 2015-2020 models.",https://example.com/products/kia-forester-control-arms,"https://source.unsplash.com/featured/?car,kia,part",2025-11-08T14:11:25.152481,2025-11-08T14:11:25.152485
1037,Kia Hilux Spark Plugs,78713.06,Kia,Hilux,2010-2015,5,1,4,1.8L,KIA-65389,"High-quality Kia Hilux Spark Plugs for Kia Hilux, suitable for 2010-2015 models.",https://example.com/products/kia-hilux-spark-plugs,"https://source.unsplash.com/featured/?car,kia,part",2025-11-08T14:11:25.152717,2025-11-08T14:11:25.152720
1038,Hyundai C-Class Brake Fluid,63437.67,Hyundai,C-Class,2005-2010,10,7,31,3.0L,HYU-24311,"High-quality Hyundai C-Class Brake Fluid for Hyundai C-Class, suitable for 2010-2015 models.",https://example.com/products/hyundai-c-class-brake-fluid,"https://source.unsplash.com/featured/?car,hyundai,part",2025-11-08T14:11:25.152952,2025-11-08T14:11:25.152955
1039,Toyota Corolla Ball Joints,33775.94,Toyota,Corolla,2005-2010,2,2,7,1.8L,TOY-18630,"High-quality Toyota Corolla Ball Joints for Toyota Corolla, suitable for 2010-2015 models.",https://example.com/products/toyota-corolla-ball-joints,"https://source.unsplash.com/featured/?car,toyota,part",2025-11-08T14:11:25.153186,2025-11-08T14:11:25.153189
1040,Subaru Hilux Performance,88736.11,Subaru,Hilux,2020-2024,7,10,46,1.5L,SUB-45162,"High-quality Subaru Hilux Performance for Subaru Hilux, suitable for 2010-2015 models.",https://example.com/products/subaru-hilux-performance,"https://source.unsplash.com/featured/?car,subaru,part",2025-11-08T14:11:25.153464,2025-11-08T14:11:25.153468
1041,BMW Tucson CV Joint,13573.5,BMW,Tucson,2020-2024,5,4,18,3.0L,BMW-75960,"High-quality BMW Tucson CV Joint for BMW Tucson, suitable for 2015-2020 models.",https://example.com/products/bmw-tucson-cv-joint,"https://source.unsplash.com/featured/?car,bmw,part",2025-11-08T14:11:25.153714,2025-11-08T14:11:25.153717
1042,Nissan Pajero Clutch Kit,41528.25,Nissan,Pajero,2010-2015,6,4,17,1.3L,NIS-69666,"High-quality Nissan Pajero Clutch Kit for Nissan Pajero, suitable for 2020-2024 models.",https://example.com/products/nissan-pajero-clutch-kit,"https://source.unsplash.com/featured/?car,nissan,part",2025-11-08T14:11:25.153952,2025-11-08T14:11:25.153955
1043,Mitsubishi Tucson Engine Oil,22560.2,Mitsubishi,Tucson,2015-2020,1,7,32,2.0L,MIT-11275,"High-quality Mitsubishi Tucson Engine Oil for Mitsubishi Tucson, suitable for 2005-2010 models.",https://example.com/products/mitsubishi-tucson-engine-oil,"https://source.unsplash.com/featured/?car,mitsubishi,part",2025-11-08T14:11:25.154194,2025-11-08T14:11:25.154197
1044,Nissan Corolla Bumpers,69153.84,Nissan,Corolla,2010-2015,8,8,35,2.4L,NIS-48097,"High-quality Nissan Corolla Bumpers for Nissan Corolla, suitable for 2010-2015 models.",https://example.com/products/nissan-corolla-bumpers,"https://source.unsplash.com/featured/?car,nissan,part",2025-11-08T14:11:25.154457,2025-11-08T14:11:25.154460
1045,Hyundai Sorento Brake Calipers,60152.77,Hyundai,Sorento,2015-2020,2,3,11,3.0L,HYU-55977,"High-quality Hyundai Sorento Brake Calipers for Hyundai Sorento, suitable for 2020-2024 models.",https://example.com/products/hyundai-sorento-brake-calipers,"https://source.unsplash.com/featured/?car,hyundai,part",2025-11-08T14:11:25.154713,2025-11-08T14:11:25.154716
1046,Toyota Sorento Ignition Coils,85943.47,Toyota,Sorento,2020-2024,8,5,23,1.3L,TOY-77873,"High-quality Toyota Sorento Ignition Coils for Toyota Sorento, suitable for 2015-2020 models.",https://example.com/products/toyota-sorento-ignition-coils,"https://source.unsplash.com/featured/?car,toyota,part",2025-11-08T14:11:25.154987,2025-11-08T14:11:25.154991
1047,Subaru Demio Car Mats,44470.34,Subaru,Demio,2010-2015,3,9,39,2.4L,SUB-14050,"High-quality Subaru Demio Car Mats for Subaru Demio, suitable for 2020-2024 models.",https://example.com/products/subaru-demio-car-mats,"https://source.unsplash.com/featured/?car,subaru,part",2025-11-08T14:11:25.155239,2025-11-08T14:11:25.155242
1048,Mazda Forester Air Filter,115940.73,Mazda,Forester,2020-2024,2,6,27,2.4L,MAZ-92167,"High-quality Mazda Forester Air Filter for Mazda Forester, suitable for 2010-2015 models.",https://example.com/products/mazda-forester-air-filter,"https://source.unsplash.com/featured/?car,mazda,part",2025-11-08T14:11:25.155483,2025-11-08T14:11:25.155488
1049,Subaru X5 Sensors,113568.81,Subaru,X5,2015-2020,6,5,23,1.5L,SUB-46208,"High-quality Subaru X5 Sensors for Subaru X5, suitable for 2005-2010 models.",https://example.com/products/subaru-x5-sensors,"https://source.unsplash.com/featured/?car,subaru,part",2025-11-08T14:11:25.155774,2025-11-08T14:11:25.155778
1050,BMW Hilux Motorbike,95951.62,BMW,Hilux,2015-2020,6,10,47,1.8L,BMW-84273,"High-quality BMW Hilux Motorbike for BMW Hilux, suitable for 2005-2010 models.",https://example.com/products/bmw-hilux-motorbike,"https://source.unsplash.com/featured/?car,bmw,part",2025-11-08T14:11:25.156015,2025-11-08T14:11:25.156019
1051,Land Rover Pajero Gaskets,116083.9,Land Rover,Pajero,2010-2015,3,1,4,1.8L,LAN-91762,"High-quality Land Rover Pajero Gaskets for Land Rover Pajero, suitable for 2020-2024 models.",https://example.com/products/land-rover-pajero-gaskets,"https://source.unsplash.com/featured/?car,land-rover,part",2025-11-08T14:11:25.156253,2025-11-08T14:11:25.156256
1052,Toyota Discovery Alternators,28035.72,Toyota,Discovery,2005-2010,5,5,21,1.3L,TOY-87735,"High-quality Toyota Discovery Alternators for Toyota Discovery, suitable for 2020-2024 models.",https://example.com/products/toyota-discovery-alternators,"https://source.unsplash.com/featured/?car,toyota,part",2025-11-08T14:11:25.156489,2025-11-08T14:11:25.156492
1053,Kia Corolla Alternators,32043.43,Kia,Corolla,2015-2020,7,5,21,4.0L Diesel,KIA-55903,"High-quality Kia Corolla Alternators for Kia Corolla, suitable for 2010-2015 models.",https://example.com/products/kia-corolla-alternators,"https://source.unsplash.com/featured/?car,kia,part",2025-11-08T14:11:25.156761,2025-11-08T14:11:25.156765
1054,Mazda Forester Ball Joints,110395.53,Mazda,Forester,2010-2015,3,2,8,1.3L,MAZ-48116,"High-quality Mazda Forester Ball Joints for Mazda Forester, suitable for 2020-2024 models.",https://example.com/products/mazda-forester-ball-joints,"https://source.unsplash.com/featured/?car,mazda,part",2025-11-08T14:11:25.157003,2025-11-08T14:11:25.157006
1055,Subaru Forester Air Filter,107431.45,Subaru,Forester,2015-2020,7,6,27,1.5L,SUB-49586,"High-quality Subaru Forester Air Filter for Subaru Forester, suitable for 2020-2024 models.",https://example.com/products/subaru-forester-air-filter,"https://source.unsplash.com/featured/?car,subaru,part",2025-11-08T14:11:25.157240,2025-11-08T14:11:25.157243
1056,Hyundai Pajero Cabin Filter,67628.34,Hyundai,Pajero,2015-2020,4,6,27,1.3L,HYU-49460,"High-quality Hyundai Pajero Cabin Filter for Hyundai Pajero, suitable for 2015-2020 models.",https://example.com/products/hyundai-pajero-cabin-filter,"https://source.unsplash.com/featured/?car,hyundai,part",2025-11-08T14:11:25.157512,2025-11-08T14:11:25.157516
1057,Mitsubishi Forester Motorbike,13784.97,Mitsubishi,Forester,2020-2024,9,10,46,3.0L,MIT-79018,"High-quality Mitsubishi Forester Motorbike for Mitsubishi Forester, suitable for 2015-2020 models.",https://example.com/products/mitsubishi-forester-motorbike,"https://source.unsplash.com/featured/?car,mitsubishi,part",2025-11-08T14:11:25.157800,2025-11-08T14:11:25.157804
1058,Kia Forester Phone Mounts,51909.42,Kia,Forester,2020-2024,8,9,41,1.3L,KIA-63773,"High-quality Kia Forester Phone Mounts for Kia Forester, suitable for 2005-2010 models.",https://example.com/products/kia-forester-phone-mounts,"https://source.unsplash.com/featured/?car,kia,part",2025-11-08T14:11:25.158072,2025-11-08T14:11:25.158076
1059,BMW Tucson Coolant,70687.88,BMW,Tucson,2010-2015,3,7,30,2.4L,BMW-58904,"High-quality BMW Tucson Coolant for BMW Tucson, suitable for 2015-2020 models.",https://example.com/products/bmw-tucson-coolant,"https://source.unsplash.com/featured/?car,bmw,part",2025-11-08T14:11:25.158312,2025-11-08T14:11:25.158315
1060,Subaru Corolla Timing Belt,97379.02,Subaru,Corolla,2020-2024,3,1,4,4.0L Diesel,SUB-77896,"High-quality Subaru Corolla Timing Belt for Subaru Corolla, suitable for 2005-2010 models.",https://example.com/products/subaru-corolla-timing-belt,"https://source.unsplash.com/featured/?car,subaru,part",2025-11-08T14:11:25.158547,2025-11-08T14:11:25.158550
1061,Nissan Sorento Ball Joints,13944.39,Nissan,Sorento,2020-2024,5,2,6,3.0L,NIS-48086,"High-quality Nissan Sorento Ball Joints for Nissan Sorento, suitable for 2015-2020 models.",https://example.com/products/nissan-sorento-ball-joints,"https://source.unsplash.com/featured/?car,nissan,part",2025-11-08T14:11:25.158800,2025-11-08T14:11:25.158803
1062,Mercedes-Benz Corolla Pistons,63161.02,Mercedes-Benz,Corolla,2020-2024,10,1,1,1.5L,MER-83668,"High-quality Mercedes-Benz Corolla Pistons for Mercedes-Benz Corolla, suitable for 2010-2015 models.",https://example.com/products/mercedes-benz-corolla-pistons,"https://source.unsplash.com/featured/?car,mercedes-benz,part",2025-11-08T14:11:25.159046,2025-11-08T14:11:25.159050
1063,Toyota Discovery ABS Sensors,83313.53,Toyota,Discovery,2005-2010,5,3,13,1.3L,TOY-25035,"High-quality Toyota Discovery ABS Sensors for Toyota Discovery, suitable for 2010-2015 models.",https://example.com/products/toyota-discovery-abs-sensors,"https://source.unsplash.com/featured/?car,toyota,part",2025-11-08T14:11:25.159285,2025-11-08T14:11:25.159288
1064,Nissan Demio Performance,14673.83,Nissan,Demio,2020-2024,9,10,43,2.0L,NIS-13231,"High-quality Nissan Demio Performance for Nissan Demio, suitable for 2005-2010 models.",https://example.com/products/nissan-demio-performance,"https://source.unsplash.com/featured/?car,nissan,part",2025-11-08T14:11:25.159524,2025-11-08T14:11:25.159527
1065,Land Rover Pajero Control Arms,101402.19,Land Rover,Pajero,2015-2020,7,2,8,4.0L Diesel,LAN-81659,"High-quality Land Rover Pajero Control Arms for Land Rover Pajero, suitable for 2020-2024 models.",https://example.com/products/land-rover-pajero-control-arms,"https://source.unsplash.com/featured/?car,land-rover,part",2025-11-08T14:11:25.159758,2025-11-08T14:11:25.159762
1066,Mitsubishi Corolla Performance,19148.13,Mitsubishi,Corolla,2010-2015,7,10,43,1.5L,MIT-96175,"High-quality Mitsubishi Corolla Performance for Mitsubishi Corolla, suitable for 2010-2015 models.",https://example.com/products/mitsubishi-corolla-performance,"https://source.unsplash.com/featured/?car,mitsubishi,part",2025-11-08T14:11:25.159993,2025-11-08T14:11:25.159996
1067,Hyundai Hilux Grilles,60423.29,Hyundai,Hilux,2015-2020,5,8,37,2.0L,HYU-97516,"High-quality Hyundai Hilux Grilles for Hyundai Hilux, suitable for 2020-2024 models.",https://example.com/products/hyundai-hilux-grilles,"https://source.unsplash.com/featured/?car,hyundai,part",2025-11-08T14:11:25.160226,2025-11-08T14:11:25.160230
1068,Subaru Pajero Shock Absorbers,35802.11,Subaru,Pajero,2020-2024,7,2,9,1.3L,SUB-25745,"High-quality Subaru Pajero Shock Absorbers for Subaru Pajero, suitable for 2015-2020 models.",https://example.com/products/subaru-pajero-shock-absorbers,"https://source.unsplash.com/featured/?car,subaru,part",2025-11-08T14:11:25.160461,2025-11-08T14:11:25.160464
1069,Toyota Sorento Pistons,57479.09,Toyota,Sorento,2015-2020,8,1,5,1.3L,TOY-70076,"High-quality Toyota Sorento Pistons for Toyota Sorento, suitable for 2010-2015 models.",https://example.com/products/toyota-sorento-pistons,"https://source.unsplash.com/featured/?car,toyota,part",2025-11-08T14:11:25.160697,2025-11-08T14:11:25.160700
1070,Mercedes-Benz Forester Air Filter,23003.38,Mercedes-Benz,Forester,2015-2020,6,6,27,3.0L,MER-29844,"High-quality Mercedes-Benz Forester Air Filter for Mercedes-Benz Forester, suitable for 2015-2020 models.",https://example.com/products/mercedes-benz-forester-air-filter,"https://source.unsplash.com/featured/?car,mercedes-benz,part",2025-11-08T14:11:25.161040,2025-11-08T14:11:25.161044
1071,Hyundai Forester Bumpers,110148.8,Hyundai,Forester,2020-2024,5,8,35,2.0L,HYU-94559,"High-quality Hyundai Forester Bumpers for Hyundai Forester, suitable for 2020-2024 models.",https://example.com/products/hyundai-forester-bumpers,"https://source.unsplash.com/featured/?car,hyundai,part",2025-11-08T14:11:25.161308,2025-11-08T14:11:25.161311
1072,Mercedes-Benz C-Class Off-Road,17707.08,Mercedes-Benz,C-Class,2015-2020,10,10,44,2.4L,MER-52477,"High-quality Mercedes-Benz C-Class Off-Road for Mercedes-Benz C-Class, suitable for 2020-2024 models.",https://example.com/products/mercedes-benz-c-class-off-road,"https://source.unsplash.com/featured/?car,mercedes-benz,part",2025-11-08T14:11:25.161551,2025-11-08T14:11:25.161554
1073,Mitsubishi Demio Shock Absorbers,80668.16,Mitsubishi,Demio,2020-2024,1,2,6,1.8L,MIT-75461,"High-quality Mitsubishi Demio Shock Absorbers for Mitsubishi Demio, suitable for 2010-2015 models.",https://example.com/products/mitsubishi-demio-shock-absorbers,"https://source.unsplash.com/featured/?car,mitsubishi,part",2025-11-08T14:11:25.161788,2025-11-08T14:11:25.161791
1074,Subaru Forester CV Joint,9776.38,Subaru,Forester,2005-2010,3,4,16,1.3L,SUB-42831,"High-quality Subaru Forester CV Joint for Subaru Forester, suitable for 2005-2010 models.",https://example.com/products/subaru-forester-cv-joint,"https://source.unsplash.com/featured/?car,subaru,part",2025-11-08T14:11:25.162026,2025-11-08T14:11:25.162029
1075,Toyota Pajero Tail Lights,15150.17,Toyota,Pajero,2020-2024,10,8,36,1.5L,TOY-68918,"High-quality Toyota Pajero Tail Lights for Toyota Pajero, suitable for 2010-2015 models.",https://example.com/products/toyota-pajero-tail-lights,"https://source.unsplash.com/featured/?car,toyota,part",2025-11-08T14:11:25.162262,2025-11-08T14:11:25.162265
1076,Land Rover Tucson Clutch Kit,26140.15,Land Rover,Tucson,2020-2024,8,4,18,4.0L Diesel,LAN-31245,"High-quality Land Rover Tucson Clutch Kit for Land Rover Tucson, suitable for 2010-2015 models.",https://example.com/products/land-rover-tucson-clutch-kit,"https://source.unsplash.com/featured/?car,land-rover,part",2025-11-08T14:11:25.162505,2025-11-08T14:11:25.162508
1077,Nissan Demio Shock Absorbers,97676.04,Nissan,Demio,2015-2020,1,2,10,4.0L Diesel,NIS-10686,"High-quality Nissan Demio Shock Absorbers for Nissan Demio, suitable for 2020-2024 models.",https://example.com/products/nissan-demio-shock-absorbers,"https://source.unsplash.com/featured/?car,nissan,part",2025-11-08T14:11:25.162744,2025-11-08T14:11:25.162747
1078,Kia Pajero Truck,60800.62,Kia,Pajero,2020-2024,2,10,47,2.4L,KIA-37194,"High-quality Kia Pajero Truck for Kia Pajero, suitable for 2015-2020 models.",https://example.com/products/kia-pajero-truck,"https://source.unsplash.com/featured/?car,kia,part",2025-11-08T14:11:25.163006,2025-11-08T14:11:25.163009
1079,Land Rover Forester Cabin Filter,105192.29,Land Rover,Forester,2005-2010,2,6,27,1.5L,LAN-84599,"High-quality Land Rover Forester Cabin Filter for Land Rover Forester, suitable for 2015-2020 models.",https://example.com/products/land-rover-forester-cabin-filter,"https://source.unsplash.com/featured/?car,land-rover,part",2025-11-08T14:11:25.163297,2025-11-08T14:11:25.163301
1080,Mazda Corolla Ball Joints,66013.22,Mazda,Corolla,2010-2015,8,2,6,4.0L Diesel,MAZ-12954,"High-quality Mazda Corolla Ball Joints for Mazda Corolla, suitable for 2015-2020 models.",https://example.com/products/mazda-corolla-ball-joints,"https://source.unsplash.com/featured/?car,mazda,part",2025-11-08T14:11:25.163542,2025-11-08T14:11:25.163545
1081,Nissan Pajero Ignition Coils,11286.31,Nissan,Pajero,2010-2015,6,5,24,4.0L Diesel,NIS-85413,"High-quality Nissan Pajero Ignition Coils for Nissan Pajero, suitable for 2015-2020 models.",https://example.com/products/nissan-pajero-ignition-coils,"https://source.unsplash.com/featured/?car,nissan,part",2025-11-08T14:11:25.163782,2025-11-08T14:11:25.163785
1082,Nissan X5 Brake Fluid,112588.91,Nissan,X5,2005-2010,9,7,30,1.3L,NIS-44478,"High-quality Nissan X5 Brake Fluid for Nissan X5, suitable for 2015-2020 models.",https://example.com/products/nissan-x5-brake-fluid,"https://source.unsplash.com/featured/?car,nissan,part",2025-11-08T14:11:25.164021,2025-11-08T14:11:25.164024
1083,Kia Corolla Coolant,26497.41,Kia,Corolla,2005-2010,4,7,32,1.5L,KIA-53202,"High-quality Kia Corolla Coolant for Kia Corolla, suitable for 2020-2024 models.",https://example.com/products/kia-corolla-coolant,"https://source.unsplash.com/featured/?car,kia,part",2025-11-08T14:11:25.164312,2025-11-08T14:11:25.164316
1084,Toyota Sorento Shock Absorbers,114114.16,Toyota,Sorento,2005-2010,10,2,10,2.4L,TOY-88400,"High-quality Toyota Sorento Shock Absorbers for Toyota Sorento, suitable for 2020-2024 models.",https://example.com/products/toyota-sorento-shock-absorbers,"https://source.unsplash.com/featured/?car,toyota,part",2025-11-08T14:11:25.164568,2025-11-08T14:11:25.164571
1085,Nissan Corolla Brake Calipers,62143.5,Nissan,Corolla,2015-2020,1,3,13,2.0L,NIS-95240,"High-quality Nissan Corolla Brake Calipers for Nissan Corolla, suitable for 2020-2024 models.",https://example.com/products/nissan-corolla-brake-calipers,"https://source.unsplash.com/featured/?car,nissan,part",2025-11-08T14:11:25.164807,2025-11-08T14:11:25.164810
1086,Toyota Corolla Batteries,65266.84,Toyota,Corolla,2005-2010,1,5,22,2.4L,TOY-59727,"High-quality Toyota Corolla Batteries for Toyota Corolla, suitable for 2020-2024 models.",https://example.com/products/toyota-corolla-batteries,"https://source.unsplash.com/featured/?car,toyota,part",2025-11-08T14:11:25.165044,2025-11-08T14:11:25.165047
1087,Mitsubishi Forester Timing Belt,67071.53,Mitsubishi,Forester,2020-2024,7,1,4,1.3L,MIT-25149,"High-quality Mitsubishi Forester Timing Belt for Mitsubishi Forester, suitable for 2015-2020 models.",https://example.com/products/mitsubishi-forester-timing-belt,"https://source.unsplash.com/featured/?car,mitsubishi,part",2025-11-08T14:11:25.165303,2025-11-08T14:11:25.165307
1088,Subaru Corolla Oil Filter,29763.93,Subaru,Corolla,2005-2010,6,6,27,1.5L,SUB-87151,"High-quality Subaru Corolla Oil Filter for Subaru Corolla, suitable for 2020-2024 models.",https://example.com/products/subaru-corolla-oil-filter,"https://source.unsplash.com/featured/?car,subaru,part",2025-11-08T14:11:25.165558,2025-11-08T14:11:25.165561
1089,Mazda Corolla Wiper Blades,9156.91,Mazda,Corolla,2010-2015,1,9,39,1.8L,MAZ-67482,"High-quality Mazda Corolla Wiper Blades for Mazda Corolla, suitable for 2005-2010 models.",https://example.com/products/mazda-corolla-wiper-blades,"https://source.unsplash.com/featured/?car,mazda,part",2025-11-08T14:11:25.165795,2025-11-08T14:11:25.165798
1090,Mazda Tucson Oil Filter,73719.55,Mazda,Tucson,2005-2010,10,6,28,3.0L,MAZ-72744,"High-quality Mazda Tucson Oil Filter for Mazda Tucson, suitable for 2005-2010 models.",https://example.com/products/mazda-tucson-oil-filter,"https://source.unsplash.com/featured/?car,mazda,part",2025-11-08T14:11:25.166031,2025-11-08T14:11:25.166034
1091,Mazda Discovery Stabilizer Links,107972.72,Mazda,Discovery,2020-2024,9,2,8,3.0L,MAZ-38873,"High-quality Mazda Discovery Stabilizer Links for Mazda Discovery, suitable for 2015-2020 models.",https://example.com/products/mazda-discovery-stabilizer-links,"https://source.unsplash.com/featured/?car,mazda,part",2025-11-08T14:11:25.166266,2025-11-08T14:11:25.166269
1092,Mercedes-Benz Tucson Fuel Filter,84488.17,Mercedes-Benz,Tucson,2005-2010,4,6,28,1.3L,MER-75987,"High-quality Mercedes-Benz Tucson Fuel Filter for Mercedes-Benz Tucson, suitable for 2015-2020 models.",https://example.com/products/mercedes-benz-tucson-fuel-filter,"https://source.unsplash.com/featured/?car,mercedes-benz,part",2025-11-08T14:11:25.166537,2025-11-08T14:11:25.166541
1093,Nissan Demio Coolant,101367.48,Nissan,Demio,2010-2015,5,7,33,1.8L,NIS-78287,"High-quality Nissan Demio Coolant for Nissan Demio, suitable for 2010-2015 models.",https://example.com/products/nissan-demio-coolant,"https://source.unsplash.com/featured/?car,nissan,part",2025-11-08T14:11:25.166793,2025-11-08T14:11:25.166797
1094,Toyota Demio Bushings,78864.2,Toyota,Demio,2005-2010,3,2,8,1.3L,TOY-69475,"High-quality Toyota Demio Bushings for Toyota Demio, suitable for 2020-2024 models.",https://example.com/products/toyota-demio-bushings,"https://source.unsplash.com/featured/?car,toyota,part",2025-11-08T14:11:25.167037,2025-11-08T14:11:25.167041
